#{"t_start": 1708119841.5359797, "env_id": "None"}
r,l,t
-1252.8213,720,5.541007
-1271.2634,720,5.541007
-1262.234,720,5.54147
-1257.0525,720,5.54147
-1265.4624,720,5.54147
-1265.2073,720,5.54147
-1252.2601,720,5.54147
-1252.2085,720,5.54147
-1253.8242,720,9.667628
-1260.6388,720,9.667628
-1274.376,720,9.667628
-1260.5005,720,9.668629
-1257.5392,720,9.668629
-1262.7697,720,9.668914
-1264.6987,720,9.668914
-1263.3066,720,9.668914
